EAST,NORTH,RL,HOLEID,PL_CU,lookup_domain
2645.0,415.7,463.88,811542,0.137,3521
2495.79,437.72,464.44,811543,0.13,3221
2206.71,363.18,414.14,809973,0.732,3310
2296.87,361.83,414.57,809977,0.286,3221
2105.79,383.62,415.78,809980,0.668,3310
2173.25,382.99,414.83,809983,0.737,3310
3371.77,364.39,464.17,809986,0.115,3026
2498.54,461.83,416.01,809998,0.075,3221
1697.1,117.7,514.44,813314,0.38,3210
2483.22,378.1,465.03,811639,0.085,3221
2998.25,674.43,466.04,811658,0.419,3026
2998.28,674.59,465.98,811659,0.087,3026
3016.03,736.01,467.22,811666,0.456,3026
3075.68,618.59,463.88,811685,0.247,3026
3151.96,621.84,464.24,811693,0.105,3026
3045.3,364.13,464.3,811738,0.303,3110
3072.59,194.54,464.04,811750,0.137,3521
2914.29,185.35,464.6,811762,0.043,3521
2953.04,209.96,464.17,811764,0.107,3521
3223.61,763.27,464.53,811919,0.106,3521
1720.03,133.98,514.47,813309,0.374,3210
1282.27,335.58,409.42,813742,0.46,2210
1393.46,219.08,465.26,813999,0.665,3310
2043.98,-27.51,514.83,814015,0.496,3210
2111.8,-43.45,514.86,814028,0.402,3210
2630.73,-20.42,516.37,814050,0.166,3521
2672.72,-50.44,516.04,814060,0.243,3521
2350.18,-31.25,514.9,814083,0.383,3210
2817.6,-22.95,515.29,814097,0.152,3121
2919.31,-53.88,515.62,814109,0.08,3121
3145.33,-38.79,514.83,814120,0.042,3521
3164.82,-22.26,514.6,814123,0.038,3521
1816.85,35.42,515.35,811145,0.609,3210
1620.89,26.14,515.68,811148,0.386,3026
1693.29,17.74,514.7,811158,0.384,3210
2008.75,13.86,514.24,811171,0.652,3210
2937.42,1.5,515.95,811201,0.106,3121
2903.17,21.94,516.54,811202,0.089,3121
2074.66,433.58,465.19,811229,0.559,3310
1770.69,418.59,463.58,811235,0.384,3310
1837.52,378.79,464.27,811254,0.568,3210
1916.59,397.62,465.12,811269,0.371,3310
1896.48,470.85,464.24,811271,0.541,3310
1928.66,455.96,464.8,811278,0.502,3310
1939.91,436.37,465.98,811279,0.546,3310
1249.2,263.21,466.01,813864,0.398,2310
2026.89,-42.2,514.67,814013,0.342,3210
2060.88,-27.64,514.73,814017,0.382,3210
2647.46,-20.68,515.88,814052,0.22,3521
2706.68,-36.1,515.12,814073,0.161,3521
2324.33,-19.21,515.72,814080,0.3,3210
2332.99,-45.58,515.29,814088,0.252,3210
2825.84,-37.91,514.5,814098,0.201,3121
2901.99,-53.62,515.16,814107,0.083,3121
1951.56,455.17,465.29,811284,0.476,3310
1962.03,436.14,465.88,811285,0.573,3310
1973.08,415.77,465.16,811286,0.572,3310
1995.85,415.51,466.24,811296,0.581,3310
2018.16,415.67,466.37,811298,0.77,3310
2063.18,414.98,465.52,811300,0.7,3310
2085.68,414.62,465.39,811301,0.913,3310
2107.99,414.09,465.32,811303,0.594,3310
2029.35,395.82,465.88,811304,0.508,3310
2051.69,395.52,465.65,811305,0.621,3310
2119.44,394.74,465.26,811308,0.597,3310
2062.95,375.87,465.81,811312,0.644,3310
2107.7,375.87,465.35,811314,0.559,3310
1736.21,361.01,464.27,811316,0.478,3210
1848.81,359.21,465.09,811321,0.379,3210
2028.6,357.14,465.78,811329,0.636,3310
1803.37,320.82,465.22,811348,0.399,3210
1972.72,338.04,465.26,811369,0.535,3210
2028.4,318.26,465.39,811377,0.543,3310
1812.68,223.35,465.39,811398,0.538,3210
1835.58,223.28,465.22,811399,0.459,3210
1994.08,298.94,463.75,811402,0.456,3210
2332.34,372.46,464.47,811416,0.281,3221
2254.15,392.87,465.03,811426,0.37,3310
1958.94,-41.52,515.16,814005,0.429,3210
1992.7,-41.61,514.86,814009,0.329,3210
2009.89,-42.04,515.09,814011,0.333,3210
2579.48,-19.47,515.85,814038,0.283,3026
2604.12,-34.69,516.08,814042,0.187,3521
2604.81,-49.65,516.24,814046,0.207,3521
1312.29,234.11,464.67,813868,0.515,3310
2043.75,-42.6,514.73,814018,0.389,3210
2069.38,-13.3,515.22,814022,0.646,3210
2094.61,-42.89,514.83,814026,0.416,3210
2689.78,-51.13,515.49,814070,0.141,3521
2706.88,-50.93,515.26,814074,0.163,3521
2800.61,-22.98,514.93,814095,0.149,3121
2851.04,-52.97,514.83,814101,0.204,3121
2242.44,373.54,465.19,811429,0.538,3310
2265.11,373.28,464.93,811430,0.322,3310
1746.05,263.04,465.85,811442,0.394,3210
1836.54,261.67,466.27,811446,0.382,3210
2331.12,255.43,466.08,811450,0.208,3521
2207.93,276.69,467.09,811459,0.652,3310
2185.39,277.05,466.73,811461,0.482,3310
2196.15,257.7,466.73,811462,0.46,3310
2195.75,218.39,465.58,811472,0.585,3310
2206.81,198.25,465.26,811480,0.521,3310
2251.36,197.89,465.16,811482,0.472,3310
2359.17,519.77,465.98,811494,0.246,3221
2392.6,459.04,465.88,811497,0.097,3221
2392.7,499.49,465.58,811504,0.153,3221
2415.87,458.65,464.96,811506,0.193,3221
2359.5,597.13,465.09,811509,0.355,3521
2415.83,498.31,464.57,811514,0.854,3221
2438.7,458.85,464.76,811516,0.146,3221
2529.78,417.28,464.4,811537,0.063,3221
2587.62,436.37,464.34,811547,0.159,3521
2610.72,436.24,464.57,811548,0.448,3521
2633.78,436.08,464.47,811549,0.127,3521
2517.11,317.24,465.39,811595,0.12,3221
2950.28,629.42,465.32,811654,0.124,3210
3417.28,230.79,516.47,814160,0.118,3521
3468.33,275.15,515.81,814171,0.142,3026
3496.05,278.83,515.49,814185,0.063,3026
3493.13,293.33,515.52,814173,0.086,3026
3352.02,170.0,516.24,814174,0.197,3521
2664.65,-20.94,515.49,814054,0.201,3521
2672.79,-35.41,515.95,814055,0.149,3521
2655.76,-50.54,515.95,814058,0.237,3521
2689.88,-35.91,515.81,814062,0.139,3521
2341.19,-17.37,514.99,814084,0.4,3210
2349.92,-45.88,515.19,814086,0.242,3210
2315.67,-45.91,515.68,814091,0.285,3210
2834.3,-22.75,515.29,814099,0.158,3121
3142.8,-2.15,514.63,814114,0.018,3521
3183.02,11.9,514.76,814119,0.018,3521
3376.07,191.88,516.37,814163,0.125,3521
3428.04,215.77,516.67,814168,0.24,3521
1893.75,484.17,415.19,809731,0.557,3310
1791.82,466.1,414.83,809768,0.461,3310
1960.29,444.41,415.32,809794,0.54,3310
1678.69,428.1,412.04,809800,0.501,3310
1948.87,425.22,414.86,809812,0.473,3310
1652.09,408.58,411.78,809817,0.592,3310
1824.66,406.88,413.35,809825,0.553,3310
1914.55,406.12,414.53,809830,0.552,3310
2073.44,481.61,416.31,809878,0.727,3310
3513.67,414.13,463.39,814526,0.2,3026
2966.78,643.82,465.26,811655,0.117,3210
3158.19,816.95,466.31,811675,0.349,3210
3058.32,584.73,464.5,811680,0.313,3026
3115.01,598.22,464.37,811687,0.14,3026
2987.36,326.69,464.99,811735,0.159,3026
2891.56,241.59,463.58,811740,0.087,3521
3014.19,177.58,463.19,811747,0.051,3521
3011.27,247.03,464.11,811767,0.238,3026
3243.03,775.84,465.09,811920,0.129,3521
3222.76,786.54,465.16,811922,0.118,3521
3203.37,794.8,465.16,811927,0.138,3521
2095.3,481.19,416.24,809879,0.697,3310
2253.99,558.45,414.24,809900,0.599,3321
2332.53,497.66,415.19,809923,0.308,3221
2095.07,442.44,415.81,809947,0.824,3310
2151.1,422.07,416.04,809964,0.667,3310
2128.3,383.75,415.72,809981,0.703,3310
2150.51,382.99,415.26,809982,0.688,3310
2447.92,461.54,416.01,809996,0.078,3221
2360.42,484.73,415.85,810000,0.174,3221
3529.81,406.32,463.85,814527,0.16,3026
3559.27,406.97,464.04,814540,0.562,3110
3894.7,617.67,463.98,814557,0.089,3026
3879.12,608.52,464.17,814559,0.185,3026
2339.32,37.39,464.8,814576,0.573,3210
2357.11,36.08,464.4,814578,0.313,3210
2418.85,22.72,464.57,814585,0.21,3026
2727.48,17.57,464.3,814609,0.121,3521
3470.46,367.21,464.24,814509,0.044,3026
3528.83,423.97,463.45,814510,0.171,3026
3589.0,463.08,463.09,814517,0.072,3110
3499.3,386.8,463.88,814525,0.172,3026
3514.0,377.74,464.11,814534,0.165,3026
2389.49,40.96,464.5,814561,0.254,3210
2409.96,24.63,464.76,814584,0.211,3026
2547.56,19.74,464.21,814600,0.347,3026
778.92,373.64,414.63,814820,0.745,2310
794.21,366.36,414.93,814822,0.668,2310
1550.51,144.87,413.52,814851,0.933,3016
1677.97,99.82,411.81,814881,0.651,3210
211.31,658.91,414.4,814891,0.744,2310
407.27,556.94,413.45,814894,0.596,2310
377.12,572.56,413.71,814896,0.595,2310
347.13,588.01,414.04,814898,0.739,2310
841.69,345.13,415.19,814827,0.473,2310
857.43,337.91,414.86,814828,0.463,2310
826.23,338.5,415.19,814831,0.482,2310
1487.59,146.12,414.5,814845,1.256,3016
1582.24,143.23,413.25,814855,1.286,3016
1537.13,122.56,412.89,814866,1.125,3016
1622.53,124.49,412.24,814871,0.555,3016
1662.78,101.46,411.78,814879,0.705,3210
115.6,755.6,414.21,814884,0.672,2310
286.7,619.54,414.99,814886,0.792,2310
4218.75,829.78,464.7,814457,0.127,3121
3558.98,443.75,463.16,814513,0.054,3110
3514.59,397.13,463.68,814529,0.25,3026
3483.78,358.09,464.27,814530,0.058,3026
3910.49,660.72,461.42,814549,0.184,3521
3910.22,626.99,463.58,814555,0.121,3026
2339.29,47.99,464.53,814564,0.421,3210
2490.34,28.89,464.57,814571,0.291,3026
828.73,355.73,415.06,814826,0.47,2310
1470.92,148.97,414.67,814843,1.135,3016
1554.71,134.8,413.16,814852,1.025,3016
1603.83,111.34,412.7,814876,0.515,3016
1646.08,104.12,411.98,814877,0.494,3210
392.44,564.62,413.48,814895,0.702,2310
332.07,595.98,414.3,814899,0.607,2310
3605.33,455.3,463.48,814519,0.07,3110
3483.06,395.33,463.88,814524,0.065,3026
3879.81,626.5,463.91,814546,0.194,3026
3925.64,636.08,463.06,814553,0.117,3026
2356.98,45.66,464.57,814563,0.323,3026
2472.17,31.88,464.83,814570,0.3,3026
2507.27,28.53,464.53,814572,0.578,3026
2392.34,28.4,464.47,814582,0.186,3210
2529.71,20.03,464.53,814598,0.679,3026
2725.68,33.29,464.57,814605,0.188,3521
2743.03,32.96,464.5,814606,0.101,3521
1333.16,224.82,465.12,814000,0.503,3310
2061.54,-42.73,514.57,814020,0.437,3210
2077.84,-42.57,514.57,814024,0.454,3210
2163.18,-43.81,514.86,814032,0.443,3210
2587.68,-33.81,515.91,814039,0.307,3026
872.62,330.63,414.44,814829,0.544,2310
886.96,307.99,413.91,814840,0.409,2310
1504.45,143.16,414.04,814847,0.815,3016
271.51,627.41,414.96,814887,0.651,2310
226.63,651.36,414.34,814890,0.514,2310
363.34,563.24,413.35,814900,0.568,2310
1924.69,111.63,413.81,814903,0.621,3310
2639.55,-34.76,516.04,814051,0.162,3521
2655.76,-35.05,515.78,814053,0.154,3521
2749.63,-21.93,514.96,814079,0.124,3521
2358.25,-17.17,515.12,814082,0.402,3210
2817.57,-22.95,515.09,814096,0.099,3121
3156.55,-9.17,514.63,814115,0.036,3521
3423.48,208.78,516.63,814169,0.135,3521
3483.29,268.26,515.62,814183,0.085,3026
4199.76,818.56,464.7,814455,0.111,3121
4237.82,818.88,463.85,814458,0.106,3121
4199.99,796.74,464.24,814471,0.108,3121
4219.02,785.81,464.24,814472,0.098,3521
4275.87,819.18,465.12,814478,0.085,3121
3575.05,436.01,463.03,814516,0.07,3110
3455.93,374.33,464.37,814520,0.035,3026
3498.18,405.07,463.58,814528,0.221,3026
3544.08,397.23,463.88,814538,0.174,3026
3574.43,416.75,463.94,814542,0.056,3110
3894.84,635.65,463.22,814547,0.146,3026
2420.98,38.57,464.96,814567,0.287,3026
2374.86,32.17,464.37,814580,0.261,3210
2707.63,33.25,464.5,814604,0.122,3521
2763.64,16.82,464.6,814613,0.103,3121
2781.52,16.72,464.63,814615,0.134,3121
807.17,355.3,415.03,814824,0.612,2310
902.94,317.31,413.81,814841,0.438,2310
1479.81,160.45,414.8,814842,0.621,3016
1495.07,156.06,414.53,814844,0.537,3016
1533.25,149.17,413.75,814849,2.208,3016
1520.0,125.54,413.35,814864,0.614,3016
1951.1,125.41,414.8,814906,0.519,3310
1435.29,199.72,465.35,816009,0.638,3310
1456.48,190.41,465.58,816015,0.581,3310
1358.29,140.34,464.93,816087,0.63,3310
1716.92,56.55,514.8,811140,0.593,3210
1794.87,35.72,515.12,811144,0.515,3210
1353.83,215.44,464.93,816001,0.518,3310
1254.84,137.72,465.35,816061,0.541,3310
1277.97,133.88,465.19,816062,0.486,3310
1414.75,209.4,465.32,816002,0.517,3310
1290.21,152.32,464.99,816084,0.535,3310
1351.69,238.34,464.96,813997,0.485,3310
2052.68,-12.91,515.09,814016,0.485,3210
2621.87,-34.89,516.37,814044,0.2,3521
2587.65,-49.59,516.34,814068,0.476,3026
2333.06,-31.41,515.58,814085,0.326,3210
2783.65,-22.45,515.16,814093,0.213,3521
2936.24,-53.92,515.35,814111,0.093,3121
3129.81,-13.1,514.4,814112,0.018,3521
3144.44,-20.65,514.53,814113,0.04,3521
3168.26,1.86,514.57,814117,0.036,3521
3169.9,19.31,514.99,814118,0.018,3521
3428.89,242.57,516.7,814146,0.239,3521
3455.04,264.32,516.14,814170,0.144,3026
1313.47,147.56,464.96,816085,0.669,3310
1448.71,124.3,465.49,816091,1.754,3016
4218.75,807.83,463.85,814456,0.11,3121
4181.98,806.52,464.93,814470,0.106,3121
3744.77,570.52,464.93,814488,0.227,3210
3560.06,426.07,463.16,814514,0.06,3110
3484.07,377.28,463.94,814523,0.018,3026
3528.83,387.55,464.04,814536,0.187,3026
2437.91,37.03,464.7,814568,0.324,3026
2436.6,21.18,464.47,814574,0.214,3026
2511.9,20.3,464.24,814596,0.462,3026
2745.59,17.38,464.6,814611,0.096,3121
1895.85,15.05,515.12,811166,0.514,3210
3651.89,458.22,515.26,811190,0.241,3210
2879.32,22.03,516.67,811205,0.056,3121
2021.28,454.02,466.11,811219,0.7,3310
1815.6,456.88,464.01,811237,0.415,3310
1804.22,438.31,463.98,811238,0.545,3310
1740.47,399.63,463.98,811243,0.444,3310
1860.65,417.67,465.45,811258,0.504,3310
1894.11,397.62,465.49,811264,0.485,3310
1905.04,377.71,465.26,811265,0.426,3310
1972.53,377.41,465.52,811282,0.522,3310
1984.6,396.67,465.35,811287,0.558,3310
1995.39,376.92,465.75,811289,0.58,3310
2007.83,474.79,465.75,811290,0.578,3310
2040.67,415.24,465.75,811299,0.578,3310
1870.72,359.04,465.03,811322,0.422,3210
1938.57,357.83,465.35,811325,0.403,3310
1961.31,357.6,465.26,811326,0.466,3310
2050.91,356.42,465.95,811330,0.54,3310
1859.73,339.36,465.06,811340,0.414,3210
1758.42,321.74,465.35,811346,0.336,3210
1903.76,299.66,465.06,811363,0.43,3210
2073.18,317.28,464.7,811372,0.56,3310
2005.89,318.39,465.22,811378,0.596,3310
1700.51,224.82,465.98,811385,0.386,3210
2389.59,390.67,465.06,811410,0.122,3221
2343.79,391.03,464.99,811412,0.192,3221
2332.5,411.44,465.68,811422,0.07,3221
2299.23,392.51,464.8,811432,0.375,3221
1756.88,281.97,465.78,811435,0.378,3210
1780.93,282.14,466.08,811438,0.349,3210
2342.15,234.7,465.16,811469,0.31,3521
2217.83,218.23,465.49,811473,0.481,3310
2307.76,217.01,465.65,811477,0.388,3521
2274.3,197.36,465.42,811483,0.509,3310
2371.02,579.51,465.35,811510,0.408,3521
2428.3,518.98,465.09,811521,0.109,3221
2439.39,498.81,464.76,811522,0.117,3221
2493.65,277.61,465.29,811528,0.093,3221
2552.91,417.01,464.24,811538,0.108,3521
2598.97,416.52,464.01,811540,1.117,3521
2564.98,436.99,464.57,811546,0.11,3521
2417.21,378.17,465.09,811636,0.081,3221
2529.88,377.02,464.73,811641,0.094,3221
2913.8,604.32,465.32,811650,0.245,3210
840.54,329.35,414.96,814833,0.495,2310
1537.72,137.52,413.25,814850,1.38,3016
256.58,635.22,414.76,814888,0.638,2310
241.49,643.13,414.53,814889,0.717,2310
1933.88,126.07,414.73,814904,0.501,3310
1868.92,154.25,512.96,816934,0.387,3210
1789.46,134.8,512.73,816938,0.405,3210
1834.67,136.57,513.32,816940,0.384,3210
1904.12,135.94,512.76,816943,0.5,3210
1926.56,136.73,513.03,816944,0.384,3210
1996.41,133.98,512.63,816947,0.407,3210
2950.15,629.45,465.45,811653,0.431,3210
3008.75,727.41,467.62,811664,0.228,3026
3077.91,574.59,464.11,811681,0.125,3026
2947.59,325.35,464.73,811726,0.164,3026
2986.34,349.86,464.96,811728,0.152,3521
3005.47,362.55,465.19,811729,0.117,3521
3108.12,223.38,464.27,811752,0.116,3026
2971.48,245.46,464.67,811759,0.09,3026
2954.09,186.57,464.01,811771,0.078,3521
1880.83,136.57,512.6,816942,0.374,3210
1949.53,134.3,513.29,816945,0.326,3210
1973.41,134.96,513.16,816946,0.583,3210
1596.54,394.31,414.3,816643,0.584,3210
3813.44,802.64,514.5,817889,0.094,3221
3873.97,767.97,514.14,817892,0.069,3521
4024.69,821.94,513.68,817896,0.087,3121
3994.34,803.79,514.07,817897,0.092,3121
4025.02,786.99,513.98,817903,0.092,3121
3994.87,769.41,514.27,817904,0.111,3121
3964.95,751.2,514.21,817905,0.115,3121
3904.28,716.23,514.27,817907,0.091,3521
1426.23,129.12,465.81,816090,0.741,3310
3964.42,786.67,514.01,817898,0.108,3121
4085.09,822.2,513.91,817964,0.129,3121
3904.02,750.31,513.91,817900,0.083,3221
2849.49,284.67,514.63,818473,0.059,3521
2813.67,301.56,514.01,818476,0.051,3521
3935.12,733.98,514.17,817906,0.112,3521
2824.36,281.78,514.27,818475,0.065,3521
1596.8,394.57,414.24,816642,0.467,3210
2805.79,323.28,514.34,818568,0.042,3521
2147.26,112.98,514.5,818570,0.365,3210
2029.06,112.54,513.75,818627,0.457,3210
2593.79,85.78,515.85,818686,0.136,3521
2826.4,360.88,514.73,818554,0.229,3521
2169.84,112.68,515.03,818571,0.448,3210
1811.47,133.94,513.82,818617,0.402,3210
1827.63,114.84,514.19,818619,0.388,3210
2354.35,109.17,516.31,818642,0.214,3521
2443.29,108.25,516.27,818651,0.168,3521
2750.25,84.4,516.24,818693,0.15,3121
1846.98,113.08,513.61,818622,0.39,3210
2433.62,88.08,516.4,818649,0.155,3026
2989.06,330.7,515.35,818718,0.136,3110
2909.83,328.86,515.19,818733,0.196,3521
2850.48,313.8,515.26,818741,0.053,3026
2932.34,271.87,514.47,818756,0.177,3026
2993.72,238.31,513.68,818777,0.093,3026
2992.61,263.14,514.14,818779,0.122,3026
2976.59,180.79,514.11,818790,0.052,3521
2995.66,192.87,513.75,818791,0.22,3026
2862.13,84.14,516.4,818793,0.226,3121
3015.24,206.42,513.62,818794,0.065,3026
2832.99,83.12,515.22,818795,0.068,3121
2919.57,119.77,514.63,818799,0.018,3521
2941.46,86.96,514.9,818803,0.051,3121
2960.85,99.53,514.27,818806,0.044,3521
3017.83,138.08,513.78,818823,0.059,3521
3095.33,121.08,514.14,818831,0.255,3026
3247.26,247.23,515.45,818842,0.144,3110
3264.65,261.6,515.16,818843,0.191,3110
3251.2,286.73,516.04,818845,0.308,3110
3270.39,298.18,515.55,818848,0.064,3026
3310.16,300.41,515.75,818850,0.379,3026
3365.57,343.2,516.57,818853,0.018,3026
3397.2,373.18,517.26,818855,0.16,3026
3934.76,803.4,514.44,817884,0.144,3221
3782.14,784.86,513.94,817887,0.356,3210
3583.22,832.4,513.52,817917,0.221,3210
1335.88,143.95,465.12,816086,0.65,3310
2777.15,82.83,516.31,818709,0.06,3121
2889.13,338.8,514.8,818732,0.249,3026
2896.51,224.99,514.17,818751,0.044,3521
2936.01,202.84,514.04,818764,0.057,3521
2898.48,154.81,514.86,818768,0.018,3521
2917.64,168.56,514.93,818769,0.038,3521
2975.61,204.15,513.91,818772,0.092,3026
2953.3,239.39,514.5,818773,0.167,3026
2863.18,108.02,514.01,818784,0.053,3121
2939.26,133.91,514.86,818809,0.051,3521
3059.73,116.19,513.48,818825,0.062,3521
3443.1,434.57,516.5,818876,0.144,3026
3501.73,494.34,516.17,818892,0.156,3110
3579.94,496.94,515.75,818904,0.206,3110
3674.36,629.12,512.4,818927,0.308,3210
3596.84,556.65,515.52,818932,0.225,3210
3654.12,593.2,513.55,818935,0.288,3210
3773.74,621.71,513.16,818947,0.236,3210
3710.29,700.05,512.57,818949,0.225,3210
3810.65,646.97,513.32,818954,0.652,3210
3159.57,132.53,515.19,818963,0.144,3026
3151.63,64.52,514.17,818967,0.139,3521
2005.74,114.55,513.14,818611,0.418,3210
1867.57,113.11,513.27,818620,0.462,3210
1930.03,111.54,513.31,818624,0.543,3210
2319.64,87.98,515.75,818641,0.323,3210
3028.01,358.06,515.09,818727,0.111,3110
3122.95,465.34,513.88,818729,0.252,3026
2929.02,317.44,516.01,818734,0.209,3521
2851.63,336.63,515.06,818735,0.11,3026
2972.59,273.35,513.91,818758,0.267,3026
2524.1,87.06,515.91,818683,0.134,3521
3005.27,414.13,514.9,818719,0.095,3110
3027.02,379.55,514.5,818726,0.181,3110
2894.51,246.61,513.78,818750,0.068,3521
2973.97,250.22,514.44,818776,0.168,3026
2880.7,119.93,514.6,818785,0.046,3121
2942.47,109.14,514.34,818805,0.067,3521
2980.6,89.52,514.4,818807,0.035,3521
2978.53,134.83,514.44,818816,0.08,3521
3346.51,328.2,516.08,818852,0.093,3026
3289.16,312.22,515.29,818856,0.248,3026
3270.36,322.53,515.06,818864,0.343,3026
3308.48,346.67,516.31,818866,0.182,3026
3366.13,407.01,516.37,818884,0.188,3026
3481.55,480.56,516.04,818891,0.144,3026
3560.62,485.72,515.98,818903,0.223,3110
3618.82,545.0,515.03,818911,0.198,3110
3656.75,570.72,513.75,818916,0.224,3210
3632.76,626.89,513.25,818920,0.32,3210
3652.38,639.29,512.4,818921,0.364,3210
3693.16,641.36,512.37,818928,0.448,3210
3712.49,652.51,512.5,818929,0.349,3210
3328.83,336.37,516.11,818858,0.069,3026
3384.17,376.5,516.93,818862,0.12,3026
3423.41,421.12,516.57,818875,0.185,3026
3403.5,430.43,516.67,818886,0.185,3026
3502.35,447.03,516.44,818896,0.163,3110
3638.47,534.7,513.98,818907,0.266,3110
3637.45,561.5,514.27,818912,0.185,3210
3694.31,570.39,512.99,818915,0.215,3210
3576.63,542.01,515.95,818931,0.283,3110
3616.98,567.97,514.96,818933,0.259,3210
3637.06,581.12,514.17,818934,0.317,3210
3716.62,583.88,512.96,818944,0.214,3210
3122.23,100.41,514.83,818958,0.236,3026
3149.95,110.75,515.03,818961,0.206,3026
3290.51,204.25,514.57,818990,0.139,3110
3751.92,655.99,513.19,818940,0.34,3210
3772.56,644.9,513.29,818943,0.286,3210
3792.05,656.68,513.55,818953,0.379,3210
3113.5,59.04,514.11,818955,0.089,3521
3137.55,112.49,515.06,818960,0.195,3026
3200.94,178.46,514.14,818978,0.31,3110
3256.09,175.71,515.03,818984,0.207,3110
3278.73,167.01,514.76,818985,0.168,3110
3253.4,202.97,514.3,818986,0.234,3110
3345.46,225.28,515.75,818999,0.144,3521
2770.66,383.32,513.81,819190,0.242,3026
2934.7,225.09,514.53,818765,0.092,3521
2955.43,215.47,514.14,818766,0.068,3026
3014.49,251.3,513.88,818780,0.113,3110
2842.87,71.44,515.65,818796,0.063,3121
2961.27,77.18,514.53,818804,0.043,3521
3000.68,81.52,513.91,818808,0.046,3521
2960.91,122.66,514.44,818810,0.072,3521
3001.04,101.69,513.52,818812,0.018,3521
2999.76,124.69,514.04,818817,0.038,3521
3014.16,161.63,513.94,818826,0.186,3026
3075.84,106.91,513.68,818829,0.06,3521
3249.53,309.5,515.49,818847,0.068,3026
3327.35,358.85,516.31,818867,0.094,3026
3347.69,371.61,516.83,818868,0.235,3026
3249.86,330.86,515.29,818878,0.095,3026
3287.85,356.84,515.32,818880,0.4,3026
3522.4,460.88,516.31,818897,0.177,3110
3499.86,471.74,516.21,818900,0.182,3110
3599.33,509.89,515.35,818905,0.27,3110
3713.54,630.7,512.47,818938,0.316,3210
3733.12,643.49,513.12,818939,0.455,3210
3735.39,596.57,512.89,818945,0.231,3210
3793.36,633.81,513.16,818948,0.236,3210
3185.26,116.03,515.22,818964,0.158,3026
3183.94,163.47,514.57,818973,0.344,3521
1691.75,486.04,413.12,809713,0.461,3310
1994.25,463.67,414.86,809777,0.631,3310
1758.06,446.44,413.39,809785,0.425,3310
1780.76,446.97,413.68,809786,0.389,3310
1915.14,444.93,415.45,809792,0.509,3310
2005.37,443.79,414.8,809796,0.697,3310
1657.96,428.01,411.71,809799,0.655,3310
2087.72,132.7,513.71,819294,0.38,3210
2248.94,130.7,516.04,819301,0.545,3310
2815.67,383.88,514.17,819188,0.204,3521
2282.8,109.37,515.16,819308,0.878,3310
3216.59,170.3,514.9,818979,0.081,3110
3271.15,215.87,514.57,818989,0.222,3110
3291.88,227.81,514.53,818993,0.496,3110
3306.61,243.39,514.67,818997,0.271,3110
3325.54,233.45,515.52,818998,0.31,3110
2815.64,343.03,514.14,819194,0.083,3521
1858.91,426.59,414.07,809808,0.491,3310
1689.85,408.68,411.58,809819,0.488,3310
1779.97,407.2,412.99,809823,0.413,3310
2321.41,517.67,414.99,809915,0.375,3221
2265.08,498.71,414.93,809920,0.255,3221
2264.0,460.03,415.12,809941,0.215,3221
2286.77,459.5,415.52,809942,0.131,3221
2354.28,458.78,415.78,809945,0.123,3221
2117.41,402.87,415.88,809970,0.686,3310
2195.75,382.43,414.6,809984,0.826,3310
3352.02,372.95,464.47,809985,0.053,3026
2139.65,402.64,415.72,809992,0.632,3310
2524.13,461.08,415.72,809999,0.167,3221
1811.77,135.52,513.12,816939,0.38,3210
2882.89,221.67,513.65,819424,0.046,3521
2870.43,162.09,514.37,819426,0.018,3521
2908.35,351.86,514.53,819429,0.102,3110
2928.56,340.96,514.67,819430,0.121,3521
2928.04,364.52,514.24,819433,0.105,3110
2948.15,353.63,514.73,819434,0.101,3110
3103.99,429.74,513.55,819461,0.165,3110
3067.47,358.94,513.22,819472,0.062,3110
3010.75,298.15,513.78,819481,0.152,3110
3031.29,287.29,513.52,819490,0.119,3110
3186.24,387.49,513.39,819498,0.137,3110
3187.19,341.19,513.81,819519,0.111,3110
3073.15,244.64,513.35,819526,0.108,3110
3092.57,256.09,513.39,819527,0.201,3110
2847.26,162.42,514.5,819421,0.059,3521
2881.94,181.94,514.11,819427,0.035,3521
2945.79,399.66,514.34,819436,0.088,3110
3043.23,439.23,514.5,819444,0.216,3110
3044.74,415.73,514.17,819445,0.23,3110
3061.77,474.27,514.27,819448,0.137,3110
3065.96,405.1,514.07,819451,0.219,3110
3142.64,454.45,512.6,819463,0.215,3026
3125.31,395.62,513.16,819475,0.231,3110
2989.52,309.44,514.3,819478,0.227,3110
2970.66,296.31,514.24,819479,0.171,3110
3146.28,385.42,513.03,819488,0.171,3110
3070.1,312.52,513.19,819492,0.161,3110
3166.75,374.95,512.93,819497,0.216,3110
3089.62,302.38,513.25,819504,0.109,3110
3053.14,253.86,513.22,819512,0.09,3110
3072.07,266.62,513.29,819513,0.121,3110
1291.16,243.72,465.03,813867,0.521,3310
1503.43,322.79,409.78,813888,0.422,3210
3172.23,258.88,513.55,819540,0.349,3110
3231.55,273.71,513.94,819566,0.098,3110
3432.5,664.29,515.03,819579,0.156,3110
3244.02,424.49,515.03,819587,0.306,3026
3242.97,447.59,514.8,819593,0.208,3026
3301.36,484.63,514.5,819596,0.223,3026
3322.4,451.5,515.19,819613,0.111,3026
3341.78,464.03,515.29,819614,0.137,3026
3266.29,367.7,514.86,819653,0.322,3026
3266.03,390.87,515.03,819668,0.17,3026
