# mA,domain,n_blastholes,n_inference_pts,percentile(2.15),percentile(8.87),percentile(25),percentile(50),percentile(75),percentile(91.13),percentile(97.85)
14,3110,682,584,0.063069,0.0887121,0.127,0.171,0.23,0.308,0.415931
14,3121,692,680,0.0405985,0.056,0.071,0.095,0.115,0.155,0.211204
14,3210,2469,2303,0.118493,0.189,0.2735,0.397,0.5,0.620625,0.786507
14,3221,1123,1004,0.078,0.112,0.177,0.289,0.392,0.506102,0.644435
14,3310,4073,3149,0.377,0.439,0.499,0.567,0.644,0.749,1.02145
14,3321,242,199,0.261285,0.315938,0.3785,0.454,0.5605,0.731685,0.926659
14,3521,3220,2840,0.04,0.065,0.116,0.188,0.289,0.434269,0.729932
14,5121,1,12,0.09,0.09,0.0945,0.1065,0.11325,0.124146,0.128581
15,2210,123,96,0.39117,0.429279,0.46275,0.508,0.576,0.685294,0.769235
15,2310,2654,2765,0.432,0.503,0.571,0.641,0.712,0.797833,0.89887
15,3016,86,73,0.366508,0.423159,0.493,0.621,1.025,1.39718,2.43219
15,3026,2120,1997,0.059,0.097,0.147,0.206,0.276,0.362955,0.492258
15,3110,682,585,0.063112,0.0888008,0.127,0.171,0.23,0.308,0.415888
15,3121,692,682,0.0406415,0.056,0.071,0.095,0.115,0.155,0.211075
15,3210,2506,2328,0.118,0.186405,0.272,0.396,0.5,0.621595,0.786
15,3221,1152,1024,0.078,0.113,0.179,0.29,0.391,0.50678,0.645077
15,3310,4150,3221,0.37746,0.439,0.499,0.567,0.643,0.748386,1.00377
15,3321,244,203,0.261715,0.318422,0.3785,0.458,0.5625,0.721395,0.925541
15,3521,3277,2900,0.04,0.0650526,0.117,0.19,0.288,0.432947,0.725693
15,5121,1,12,0.09,0.09,0.0945,0.1065,0.11325,0.124146,0.128581
